Platform,Description,Price per listed lot,# of parts per listed lot,Lots purchased,Final price (CAD),Final price (USD),Already owned?,Comments,Link
Any,Wood,N/A,N/A,N/A,N/A,N/A,Yes,My dad has a bunch of wood left,
Any,Metal fasteners,N/A,N/A,N/A,N/A,N/A,Yes,"Again, my dad works in HVAC so he has a bunch of them",
Any,Triangle metal gusset plates,N/A,N/A,N/A,N/A,N/A,Yes,There's a couple of them left in the garage,
Amazon,Rear wheel axle set,199.89,1,1,199.89,147.9186,Yes,Purchased in 2022,https://www.amazon.ca/Tacsal-Rear-Axle-Shaft-Assembly/dp/B0DNQT6FHH/ref=sr_1_6?crid=21BS1T7VN1VHT&dib=eyJ2IjoiMSJ9.hVKuyXcdSNAhXjknI4C-hhsla3HyoLpt0gil9jtAN949fPQGSGou6j8IYcdcLS6K9TRkAYy3BuiIHi8DDPjdteD99pdgLSpXZSHzFPmJALpvRXrTWJNdYjijBl_EIKvpuq_vt9KZg_sUc1rgig7OB5r7HF2b2ajAQlgo436Ar7hn_PM-E5gIFzQaulvrrvTF9N8wpUm8NeX3Igh1066tOEFHqlx5rrm0m0mLm7-ZqyVN5xqiNd-4PBAHp6wgc7RsSYVxwqAexuMD1d8xkKWxAosQ_vdS7ZhUCpMQaupR_DQ.sh5PsINhZq0gyTU9e8G-wGUdTJlzySMdoMgK4ABe_Qc&dib_tag=se&keywords=go+kart+rear+axle+kit&qid=1751647881&sprefix=go+kart+rear%2Caps%2C135&sr=8-6
Amazon,Front wheel axle set,80.99,1,1,80.99,59.9326,Yes,"Original 2022 listing is gone, this is the closest I can find",https://www.amazon.ca/dp/B07ZQ54MXW/ref=sspa_dk_rhf_search_pt_sub_5/?_encoding=UTF8&ie=UTF8&psc=1&sp_csd=d2lkZ2V0TmFtZT1zcF9yaGZfc2VhcmNoX3BlcnNvbmFsaXplZA%3D%3D&pd_rd_w=NTrIz&content-id=amzn1.sym.0f99bdad-eb79-4af9-af0a-e84349c74796&pf_rd_p=0f99bdad-eb79-4af9-af0a-e84349c74796&pf_rd_r=CEB3WZ6EWWS437V646Z1&pd_rd_wg=4rRwd&pd_rd_r=658bb423-aa3b-42eb-874f-dbae2871b37a&ref_=sspa_dk_rhf_search_pt_sub
Amazon,48V 2000W motor kit (+motor controller),166.54,1,1,166.54,123.2396,No,,https://www.amazon.ca/VEVOR-2000W-Electric-Brushless-Motor/dp/B0DT3RT5NY/ref=sr_1_5?crid=3GF9GY304G3M4&dib=eyJ2IjoiMSJ9.4Qd3AEaNPiDfk0kX-UdfB0J9ALnctZ1IVVC0UT-2U0r8rpvhC3RcXq9NwBELe6u_RM3eTyopNmeoamhfc1a4_XqyGy4_EzWeR_KQ3Wj0Z_7feYIHbk9G0B1lih8_VGximQq31Lsrj31Rf3NXJGCtG-E7HMV2P9sb36QalVEUlzgd53OEAYhhRvFj9qTErN8djRp8Xf_VRJGvegBKASbPHnhV6eI14EF2G1ysaJGYoQ5IsYicTav-hOCoBNJWGVAzSa7QvQMSqzGSMXsdfml5xSAzf6hXjSSj1j3bum3szao.Ja8s2RykbW_3Kg0yB2LXEDMXuA6A3cRtVc2BlzAWJvI&dib_tag=se&keywords=48V+2000W+motor&qid=1751569092&sprefix=48v+2000w+moto%2Caps%2C182&sr=8-5
Amazon,48V 48AH battery,133.99,1,1,133.99,99.1526,No,,https://www.amazon.ca/Lithium-Battery-Protectio-200-2000W-Electric/dp/B0F449L6LZ/ref=sr_1_4_sspa?crid=22IG84UJL6Q86&dib=eyJ2IjoiMSJ9.dpljJfr0xA74COtuMdc4J-b3L_7KKsMEd0XAOWKaILLe_l8JNywilpgW3bZPbxeV6YiCRRDqD1JN1Pgc4NeVFlmlhyMUBdk0VFwyMOroMsg8BZrjVwDG5oGKvFfdF4zZH1YuLmw8mEABpBGp2B3amyOQnacadDLlORAot1jv-z2BWAKtuygsISw0z0Ees4Fz6BBKkgGmoRvix-cdzgHhKeF3ZZaheux5-MM6ggY8x-Sj3JvibmjxP1_YFnVHePe-8heJaFjf6htM8-p6l8THed14_OyRhCgWWWt1a0XGpQA.63RHBd038xM1tN05SsKkCgIMnl5njh1UN3hrs-iuTeI&dib_tag=se&keywords=48V%2Bbattery&qid=1751569254&sprefix=48v%2Bbatter%2Caps%2C298&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
,,,,,,,,,
,,,,"Total (CAD, USD):",300.53,222.3922,,,
